date,description,type,from,to,amount,currency,comment,tx_hash,
2020-11-11T19:27:24Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0xf20cDF44103d343b888eD29220b6c51dB5cAF7bD,600,yyDAI+yUSDC+yUSDT+yTUSD,Donate to chinese translator,0x1e411c81fc83abfe260f58072c74bfa91e38e27e0066da07ea06f75d9c8f4a00,
2020-11-11T19:27:24Z,grant,outgoing,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,,0x1e411c81fc83abfe260f58072c74bfa91e38e27e0066da07ea06f75d9c8f4a00,
2020-11-11T19:27:24Z,grant,outgoing,ychad.eth,0xD152f549545093347A162Dce210e7293f1452150,12600,yyDAI+yUSDC+yUSDT+yTUSD,Send grants,0x1e411c81fc83abfe260f58072c74bfa91e38e27e0066da07ea06f75d9c8f4a00,
2020-11-13T12:23:34Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x421272DF2574422Eb453De3550D6f856f1E103E7,750,yyDAI+yUSDC+yUSDT+yTUSD,Donate to shadeunderthetree,0xe9442f9ca213f7653df8fb67dbd0f3b6c185b478e809e09adea2e31011dd38dc,
2020-11-13T12:23:34Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x44d72B5A773332935046c62A34a9F1DC072d9Cb7,406.25,yyDAI+yUSDC+yUSDT+yTUSD,Donate to gismar,0xe9442f9ca213f7653df8fb67dbd0f3b6c185b478e809e09adea2e31011dd38dc,
2020-11-13T12:23:34Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x60330861Ddc19Ae7f6B274Aa6fC32c7b6bA9845B,343.75,yyDAI+yUSDC+yUSDT+yTUSD,Donate to nomad,0xe9442f9ca213f7653df8fb67dbd0f3b6c185b478e809e09adea2e31011dd38dc,
2020-11-13T12:23:34Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x62661B101ca48734668669a9F1Cb83c4889049F3,750,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Cryptouf,0xe9442f9ca213f7653df8fb67dbd0f3b6c185b478e809e09adea2e31011dd38dc,
2020-11-13T12:23:34Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x8a87378502745451f1d35497A39110D9e040E885,937.5,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Wot_Is Goin_On,0xe9442f9ca213f7653df8fb67dbd0f3b6c185b478e809e09adea2e31011dd38dc,
2020-11-13T12:23:34Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x9E6B62E01807776F75518C94C857829292902dB8,1406.25,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Miguel,0xe9442f9ca213f7653df8fb67dbd0f3b6c185b478e809e09adea2e31011dd38dc,
2020-11-13T12:23:34Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0xBC2571293a9F37eAe02699744B3d29E47f6b6C0B,1125,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Arcturus,0xe9442f9ca213f7653df8fb67dbd0f3b6c185b478e809e09adea2e31011dd38dc,
2020-11-13T12:23:34Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0xC3b8BBD76c78a0dFAf47b4454472DB35cEBD1A24,1562.5,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Definn,0xe9442f9ca213f7653df8fb67dbd0f3b6c185b478e809e09adea2e31011dd38dc,
2020-11-13T12:23:34Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,physicist.eth,812.5,yyDAI+yUSDC+yUSDT+yTUSD,Donate to ppwdw,0xe9442f9ca213f7653df8fb67dbd0f3b6c185b478e809e09adea2e31011dd38dc,
2020-11-13T12:23:34Z,grant,outgoing,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,,0xe9442f9ca213f7653df8fb67dbd0f3b6c185b478e809e09adea2e31011dd38dc,
2020-11-13T12:23:34Z,grant,outgoing,ychad.eth,0xD152f549545093347A162Dce210e7293f1452150,8093.75,yyDAI+yUSDC+yUSDT+yTUSD,Send docs grants,0xe9442f9ca213f7653df8fb67dbd0f3b6c185b478e809e09adea2e31011dd38dc,
2020-11-13T22:10:01Z,airdrop,incoming,0x2832817633520BF0da1b57E2Fb7bb2Fba95014F9,ychad.eth,23.57648138820440000,yCRV,Receive vault fee,0xfa028377f97f22183d064f066cd201a71907e0fba57604599095b5a3cf62176c,
2020-11-15T10:06:25Z,grant,outgoing,ychad.eth,0x10e1E2660309b4e135865A25869fb1FEAf9ED103,1906.25,yyDAI+yUSDC+yUSDT+yTUSD,Send tokens to docs treasury,0x96fe353c6e28a92854cfa618ecd699234b0d2587820de9070fec744c11ee7bd8,
2020-11-17T17:30:23Z,rebalance,none,0x2fDbAdf3C4D5A8666Bc06645B8358ab803996E28,ychad.eth,0.239646532933625000,YFI,Swap WETH to YFI,0x89f2dd2a9b316a0688c9be0aea2ce30ab2ba584506fab3ada65b93e311307d57,
2020-11-17T17:30:23Z,rebalance,none,0x2fDbAdf3C4D5A8666Bc06645B8358ab803996E28,ychad.eth,0.254446418608579000,YFI,,0x89f2dd2a9b316a0688c9be0aea2ce30ab2ba584506fab3ada65b93e311307d57,
